Metadata_type,name,accepted_values,comment
animal,ID,,"""this information may be obtained from the mouse book"""
animal,birth_date (yyyymmdd),,"""this information may be obtained from the mouse book"""
animal,genotype,,"""this information may be obtained from the mouse book"""
animal,group,,"""given if not automatically processed"""
Each_cage,animal_ID,,"""information about the animal is gathered in another data sheet, the mice book may be used"""
Each_cage,experiment_ID,E+6 number code,"""metadata about this experiment"""
Each_cage,Video_name,,"""name of path for the video file, starting from the experiment path given in the experiment metadata, gives also time start and cage position, do not add the suffix!"""
Experiment,experiment_ID,E+6 number code,"""give it a 6 number code"""
Experiment,experimentator,mail address,"""e-mail of the experimentator"""
Experiment,Folder_path,,"""path to the Folder of the experiment, if different from the path to the file"""
Experiment,group_by,"genotype, age_category, group","""variable of the animal metadata, which is used to create groups"""
Experiment,software_used,"10F_videocage, HCS","""name of the software used for the video analysis, indicate version number."""
Experiment,Comments,free text,"""free text comment for this experiment"""
Experiment,mousebook,,"""path to the mousebook where information about the mice are kept"""
Lab,ID,L+5 number code,"""give it a 5 number code"""
Lab,light_on,HH:mm:ss,"""time of day when the light is on in the room (ZT0 time), format is HH:mm:ss"""
Lab,light_off,HH:mm:ss,"""time of day when the light is off , format is HH:mm:ss"""
Lab,temperature,,"""temperature in the room, in degree celcius, range:  21 - 23"
Lab,cage_type,"2,3,4","""cage type used for that experiment (2,3,4)"""
Lab,address,,"""Gives the address of the lab where the experiment is performed"""
Lab,north_position,,"""give position of the north in degrees clockwise, 0 being the direction of the rack over the small side"""
Lab,daylight_intensity_lux,,"""measure light intensity 1 h after light on"""
Lab,daylight_spectrum,,"""what is the color spectrum of the daylight"""
Lab,nightlight_intensity_lux,,
