HOMECAGESCAN,,
Behavior Code,Behavior Name,usual_name
0,COME_DOWN,ComeDown
1,REAR_UP,RearUp
2,TURN,Turn
3,STRETCH,Stretch
4,HANGCUDDLE,HangCudl
5,HANGVERT,HangVert
6,COME_DOWN_FROM_PR,CDfromPR
7,COME_DOWN_TO_PR,CDtoPR
8,REAR_UP_FROM_PR,RUfromPR
9,REAR_UP_TO_PR,RUtoPR
10,LANDVERT,LandVert
11,WALKLEFT,WalkLeft
12,WALKRIGHT,WalkRght
13,STATIONARY,Stationa
14,STATIONARY,
15,DRINK,Drnk(S1)
16,EAT,Eat(Z1)
17,JUMP,Jump
18,JUMP,
19,UNKNOWN_BEH,Unknown
20,HANGV_FROM_RU,HVfromRU
21,HANGV_FROM_HC,HVfromHC
22,REPETJUMP,ReptJump
23,CIRCLE,Circle
24,DIG,Dig
25,FORAGE,Forage
26,PAUSE,Pause
27,URINATE,Urinate
28,GROOM,Groom
29,SLEEP,Sleep
30,TWITCH,Twitch
31,AROUSAL,Arousal
32,AWAKEN,Awaken
33,CHEW,Chew
34,YAWN,
35,DEFECATE,
36,SNIFF,Sniff
37,SETTLING,
38,REMAIN_REAR_UP,RemainRU
39,REMAIN_PART_REARED,RemainPR
40,REMAIN_HANGVERT,RemainHV
41,REMAIN_HANGCUDDLE,RemainHC
42,REMAIN_LOW,RemainLw
43,WALKSLOWLY,WalkSlow
44,NO_DATA,No Data
45,DRINK2,Drnk(S2)
46,DRINK3,Drnk(S3)
47,EAT2,Eat(Z2)
48,EAT3,Eat(Z3)
