"animal_ID";"animal_birthdate";"gender";"treatment";"genotype";"other_category";"date";"test_cage";"real_time_start";"Lab_ID";"Exclude_data";"comment";"experiment_folder_name";"Behavior_sequence";"Onemin_summary";"Onehour_summary";"primary_behav_sequence";"primary_position_time";"primary_datafile";"Proj_name";"light_on";"light_off";"temperature";"cage_type";"address";"north_position";"daylight_intensity_lux";"daylight_spectrum";"nightlight_intensity_lux";"X1";"Identifier";"Title";"Creator";"Creator_orcidid";"Contributors";"Creator_email";"Publisher";"Publication year";"Production year";"Subject area";"Resource";"Rights";"rights holder";"Description_comments";"funder information";"video_acquisition";"video_analysis";"group_by";"confound_by";"source_data";"Folder_path";"raw_data_folder";"video_folder";"animal_metadata";"lab_metadata";"ID";"groupingvar"
"20";NA;"female";"first";"wt";NA;"08.06.2015";"3";09:21:00;"AOCF_1";NA;NA;"150608_Testdata_HCS_groupA";"150608_Testdata_HCS_beh_20.xlsx";"150608_Testdata_HCS_min_20.xlsx";"150608_Testdata_HCS_hour_20.xlsx";"HomeCageScan150605103738Y15M06D05H10M38S01C3.MBR";"HomeCageScan150605103738Y15M06D05H10M38S01C3.TDB";"min_summary";"Ro_testdata";06:00:00;18:00:00;NA;NA;NA;NA;NA;NA;NA;14;"F0001";"wild type data at different age. For testing purpose";"Colomb, Julien";"https://orcid.org/0000-0002-3127-5520
";"Long, Melissa; Winter, York(https://orcid.org/0000-0002-7828-1872)";"julien.colomb@fu-berlin.de";NA;NA;2015;"behavioural neurobiology";"dataset";"CC0";"Winter, York";"Part of a project at the AOCF, only data from wild type animals are available here.";"XXX";"HCS 3.0";"HCS 3.0";"treatment";NA;"this_github";"Ro_testdata";"HCS3_output";"videos";"metadata/Ro_testdata_meta.csv";"metadata/Lab_metadata.csv";"100";"first"
"2";NA;"female";"first";"wt";NA;"09.06.2015";"1";09:19:27;"AOCF_1";NA;NA;"150609_Testdata_HCS_groupB";"150609_Testdata_HCS_beh_2.xlsx";"150609_Testdata_HCS_min_2.xlsx";"150609_Testdata_HCS_hour_2.xlsx";"HomeCageScan150609091927Y15M06D09H09M19S29C1.MBR";"HomeCageScan150609091927Y15M06D09H09M19S29C1.TDB";"min_summary";"Ro_testdata";06:00:00;18:00:00;NA;NA;NA;NA;NA;NA;NA;14;"F0001";"wild type data at different age. For testing purpose";"Colomb, Julien";"https://orcid.org/0000-0002-3127-5520
";"Long, Melissa; Winter, York(https://orcid.org/0000-0002-7828-1872)";"julien.colomb@fu-berlin.de";NA;NA;2015;"behavioural neurobiology";"dataset";"CC0";"Winter, York";"Part of a project at the AOCF, only data from wild type animals are available here.";"XXX";"HCS 3.0";"HCS 3.0";"treatment";NA;"this_github";"Ro_testdata";"HCS3_output";"videos";"metadata/Ro_testdata_meta.csv";"metadata/Lab_metadata.csv";"101";"first"
"25";NA;"female";"first";"wt";NA;"10.06.2015";"4";09:19:20;"AOCF_1";"exclude";NA;"150610_Testdata_HCS_groupC";"150610_Testdata_HCS_beh_25.xlsx";"150610_Testdata_HCS_min_25.xlsx";"150610_Testdata_HCS_hour_25.xlsx";"HomeCageScan150610091920Y15M06D10H09M19S34C4.MBR";"HomeCageScan150610091920Y15M06D10H09M19S34C4.TDB";"min_summary";"Ro_testdata";06:00:00;18:00:00;NA;NA;NA;NA;NA;NA;NA;14;"F0001";"wild type data at different age. For testing purpose";"Colomb, Julien";"https://orcid.org/0000-0002-3127-5520
";"Long, Melissa; Winter, York(https://orcid.org/0000-0002-7828-1872)";"julien.colomb@fu-berlin.de";NA;NA;2015;"behavioural neurobiology";"dataset";"CC0";"Winter, York";"Part of a project at the AOCF, only data from wild type animals are available here.";"XXX";"HCS 3.0";"HCS 3.0";"treatment";NA;"this_github";"Ro_testdata";"HCS3_output";"videos";"metadata/Ro_testdata_meta.csv";"metadata/Lab_metadata.csv";"102";"first"
"23";NA;"female";"first";"wt";NA;"11.06.2015";"2";09:34:19;"AOCF_1";NA;NA;"150611_Testdata_HCS_groupD";"150611_Testdata_HCS_beh_23.xlsx";"150611_Testdata_HCS_min_23.xlsx";"150611_Testdata_HCS_hour_23.xlsx";"HomeCageScan150611093419Y15M06D11H09M34S30C2.MBR";"HomeCageScan150611093419Y15M06D11H09M34S30C2.TDB";"min_summary";"Ro_testdata";06:00:00;18:00:00;NA;NA;NA;NA;NA;NA;NA;14;"F0001";"wild type data at different age. For testing purpose";"Colomb, Julien";"https://orcid.org/0000-0002-3127-5520
";"Long, Melissa; Winter, York(https://orcid.org/0000-0002-7828-1872)";"julien.colomb@fu-berlin.de";NA;NA;2015;"behavioural neurobiology";"dataset";"CC0";"Winter, York";"Part of a project at the AOCF, only data from wild type animals are available here.";"XXX";"HCS 3.0";"HCS 3.0";"treatment";NA;"this_github";"Ro_testdata";"HCS3_output";"videos";"metadata/Ro_testdata_meta.csv";"metadata/Lab_metadata.csv";"103";"first"
"261";NA;"female";"first";"wt";NA;"15.06.2015";"1";09:13:00;"AOCF_1";NA;NA;"150615_Testdata_HCS_groupE";"150615_Testdata_HCS_beh_261.xlsx";"150615_Testdata_HCS_min_261.xlsx";"150615_Testdata_HCS_hour_261.xlsx";"HomeCageScan150612095215Y15M06D12H09M52S26C1.MBR";"HomeCageScan150612095215Y15M06D12H09M52S26C1.TDB";"min_summary";"Ro_testdata";06:00:00;18:00:00;NA;NA;NA;NA;NA;NA;NA;14;"F0001";"wild type data at different age. For testing purpose";"Colomb, Julien";"https://orcid.org/0000-0002-3127-5520
";"Long, Melissa; Winter, York(https://orcid.org/0000-0002-7828-1872)";"julien.colomb@fu-berlin.de";NA;NA;2015;"behavioural neurobiology";"dataset";"CC0";"Winter, York";"Part of a project at the AOCF, only data from wild type animals are available here.";"XXX";"HCS 3.0";"HCS 3.0";"treatment";NA;"this_github";"Ro_testdata";"HCS3_output";"videos";"metadata/Ro_testdata_meta.csv";"metadata/Lab_metadata.csv";"104";"first"
"262";NA;"female";"first";"wt";NA;"15.06.2015";"2";09:13:00;"AOCF_1";NA;NA;"150615_Testdata_HCS_groupE";"150615_Testdata_HCS_beh_262.xlsx";"150615_Testdata_HCS_min_262.xlsx";"150615_Testdata_HCS_hour_262.xlsx";"HomeCageScan150612095215Y15M06D12H09M52S26C2.MBR";"HomeCageScan150612095215Y15M06D12H09M52S26C2.TDB";"min_summary";"Ro_testdata";06:00:00;18:00:00;NA;NA;NA;NA;NA;NA;NA;14;"F0001";"wild type data at different age. For testing purpose";"Colomb, Julien";"https://orcid.org/0000-0002-3127-5520
";"Long, Melissa; Winter, York(https://orcid.org/0000-0002-7828-1872)";"julien.colomb@fu-berlin.de";NA;NA;2015;"behavioural neurobiology";"dataset";"CC0";"Winter, York";"Part of a project at the AOCF, only data from wild type animals are available here.";"XXX";"HCS 3.0";"HCS 3.0";"treatment";NA;"this_github";"Ro_testdata";"HCS3_output";"videos";"metadata/Ro_testdata_meta.csv";"metadata/Lab_metadata.csv";"105";"first"
"263";NA;"female";"first";"wt";NA;"16.06.2015";"1";09:09:14;"AOCF_1";NA;NA;"150616_Testdata_HCS_groupF";"150616_Testdata_HCS_beh_263.xlsx";"150616_Testdata_HCS_min_263.xlsx";"150616_Testdata_HCS_hour_263.xlsx";"HomeCageScan150616090914Y15M06D16H09M09S16C1.MBR";"HomeCageScan150616090914Y15M06D16H09M09S16C1.TDB";"min_summary";"Ro_testdata";06:00:00;18:00:00;NA;NA;NA;NA;NA;NA;NA;14;"F0001";"wild type data at different age. For testing purpose";"Colomb, Julien";"https://orcid.org/0000-0002-3127-5520
";"Long, Melissa; Winter, York(https://orcid.org/0000-0002-7828-1872)";"julien.colomb@fu-berlin.de";NA;NA;2015;"behavioural neurobiology";"dataset";"CC0";"Winter, York";"Part of a project at the AOCF, only data from wild type animals are available here.";"XXX";"HCS 3.0";"HCS 3.0";"treatment";NA;"this_github";"Ro_testdata";"HCS3_output";"videos";"metadata/Ro_testdata_meta.csv";"metadata/Lab_metadata.csv";"106";"first"
"265";NA;"female";"first";"wt";NA;"16.06.2015";"3";09:09:14;"AOCF_1";NA;NA;"150616_Testdata_HCS_groupF";"150616_Testdata_HCS_beh_265.xlsx";"150616_Testdata_HCS_min_265.xlsx";"150616_Testdata_HCS_hour_265.xlsx";"HomeCageScan150616090914Y15M06D16H09M09S16C3.MBR";"HomeCageScan150616090914Y15M06D16H09M09S16C3.TDB";"min_summary";"Ro_testdata";06:00:00;18:00:00;NA;NA;NA;NA;NA;NA;NA;14;"F0001";"wild type data at different age. For testing purpose";"Colomb, Julien";"https://orcid.org/0000-0002-3127-5520
";"Long, Melissa; Winter, York(https://orcid.org/0000-0002-7828-1872)";"julien.colomb@fu-berlin.de";NA;NA;2015;"behavioural neurobiology";"dataset";"CC0";"Winter, York";"Part of a project at the AOCF, only data from wild type animals are available here.";"XXX";"HCS 3.0";"HCS 3.0";"treatment";NA;"this_github";"Ro_testdata";"HCS3_output";"videos";"metadata/Ro_testdata_meta.csv";"metadata/Lab_metadata.csv";"107";"first"
"272";NA;"female";"first";"wt";NA;"17.06.2015";"1";09:16:42;"AOCF_1";NA;NA;"150617_Testdata_HCS_groupG";"150617_Testdata_HCS_beh_272.xlsx";"150617_Testdata_HCS_min_272.xlsx";"150617_Testdata_HCS_hour_272.xlsx";"HomeCageScan150617091642Y15M06D17H09M16S44C1.MBR";"HomeCageScan150617091642Y15M06D17H09M16S44C1.TDB";"min_summary";"Ro_testdata";06:00:00;18:00:00;NA;NA;NA;NA;NA;NA;NA;14;"F0001";"wild type data at different age. For testing purpose";"Colomb, Julien";"https://orcid.org/0000-0002-3127-5520
";"Long, Melissa; Winter, York(https://orcid.org/0000-0002-7828-1872)";"julien.colomb@fu-berlin.de";NA;NA;2015;"behavioural neurobiology";"dataset";"CC0";"Winter, York";"Part of a project at the AOCF, only data from wild type animals are available here.";"XXX";"HCS 3.0";"HCS 3.0";"treatment";NA;"this_github";"Ro_testdata";"HCS3_output";"videos";"metadata/Ro_testdata_meta.csv";"metadata/Lab_metadata.csv";"108";"first"
"273";NA;"female";"first";"wt";NA;"18.06.2015";"1";09:24:27;"AOCF_1";NA;NA;"150618_Testdata_HCS_groupH";"150618_Testdata_HCS_beh_273.xlsx";"150618_Testdata_HCS_min_273.xlsx";"150618_Testdata_HCS_hour_273.xlsx";"HomeCageScan150618092427Y15M06D18H09M24S41C1.MBR";"HomeCageScan150618092427Y15M06D18H09M24S41C1.TDB";"min_summary";"Ro_testdata";06:00:00;18:00:00;NA;NA;NA;NA;NA;NA;NA;14;"F0001";"wild type data at different age. For testing purpose";"Colomb, Julien";"https://orcid.org/0000-0002-3127-5520
";"Long, Melissa; Winter, York(https://orcid.org/0000-0002-7828-1872)";"julien.colomb@fu-berlin.de";NA;NA;2015;"behavioural neurobiology";"dataset";"CC0";"Winter, York";"Part of a project at the AOCF, only data from wild type animals are available here.";"XXX";"HCS 3.0";"HCS 3.0";"treatment";NA;"this_github";"Ro_testdata";"HCS3_output";"videos";"metadata/Ro_testdata_meta.csv";"metadata/Lab_metadata.csv";"109";"first"
