"","experiment_folder_name","Behavior_sequence","Onemin_summary","animal_ID"
"1","10-13-04","cage 1 3976 10-13-14-04 bins.xls","cage 1 3976 10-13-14-04 bins.xls",NA
"2","10-13-04","cage 3 3977 10-13-14-04 bins.xls","cage 3 3977 10-13-14-04 bins.xls",NA
"3","10-14-04","cage 1 3976 10-14-15-04 new set file bins.xls","cage 1 3976 10-14-15-04 new set file bins.xls",NA
"4","10-14-04","cage 3 3977 10-14-15-04 new set file bins.xls","cage 3 3977 10-14-15-04 new set file bins.xls",NA
"5","10-26-04","cage 1 3976 10-26-27-04 bins.xls","cage 1 3976 10-26-27-04 bins.xls",NA
"6","10-26-04","cage 2 4768 10-26-27-04 bins.xls","cage 2 4768 10-26-27-04 bins.xls",NA
"7","10-26-04","cage 3 3977 10-26-27-04 bins.xls","cage 3 3977 10-26-27-04 bins.xls",NA
"8","10-26-04","cage 4 4769 10-26-27-04 bins.xls","cage 4 4769 10-26-27-04 bins.xls",NA
"9","10-27-04","cage 1 3976 10-27-28-04 bins.xls","cage 1 3976 10-27-28-04 bins.xls",NA
"10","10-27-04","cage 2 4768 10-28-29-04 bins.xls","cage 2 4768 10-28-29-04 bins.xls",NA
"11","10-27-04","cage 3 3977 10-27-28-04 bins.xls","cage 3 3977 10-27-28-04 bins.xls",NA
"12","10-27-04","cage 4 4769 10-27-28-04 bins.xls","cage 4 4769 10-27-28-04 bins.xls",NA
"13","11-1-04","cage 1 4770 11-1-2-04 bins.xls","cage 1 4770 11-1-2-04 bins.xls",NA
"14","11-1-04","cage 3 4771 11-1-2-04 bins.xls","cage 3 4771 11-1-2-04 bins.xls",NA
"15","11-2-04","cage1 4770 11-2-3-04 bins.xls","cage1 4770 11-2-3-04 bins.xls",NA
"16","11-2-04","cage3 4771 11-2-3-04 bins.xls","cage3 4771 11-2-3-04 bins.xls",NA
"17","11-23-04","cage1 5210 11-23-24-04 bins.xls","cage1 5210 11-23-24-04 bins.xls",NA
"18","11-23-04","cage3 5211 11-23-24-04 bins.xls","cage3 5211 11-23-24-04 bins.xls",NA
"19","11-24-04","cage1 5210 11-24-25-04 bins.xls","cage1 5210 11-24-25-04 bins.xls",NA
"20","11-24-04","cage3 5211 11-24-25-04 bins.xls","cage3 5211 11-24-25-04 bins.xls",NA
"21","11-30-04","cage 2 4768 11-30-12-1-04 bins.xls","cage 2 4768 11-30-12-1-04 bins.xls",NA
"22","11-30-04","cage 4 4769 11-30-12-1-04 bins.xls","cage 4 4769 11-30-12-1-04 bins.xls",NA
"23","11-5-04","cage2 4989 11-5-6-04 bins.xls","cage2 4989 11-5-6-04 bins.xls",NA
"24","11-5-04","cage4 4990 11-5-6-04 bins.xls","cage4 4990 11-5-6-04 bins.xls",NA
"25","11-6-04","cage1 4787 11-6-7-04 26 hr beh bins.xls","cage1 4787 11-6-7-04 26 hr beh bins.xls",NA
"26","11-6-04","cage2 4989 11-6-7-04 26 hour bins.xls","cage2 4989 11-6-7-04 26 hour bins.xls",NA
"27","11-8-04","cage2 4992 11-8-9-04 bins.xls","cage2 4992 11-8-9-04 bins.xls",NA
"28","11-8-04","cage4 4993 11-8-9-04 bins.xls","cage4 4993 11-8-9-04 bins.xls",NA
"29","11-9-04","cage2 4992 11-9-10-04 bins.xls","cage2 4992 11-9-10-04 bins.xls",NA
"30","11-9-04","cage4 4993 11-9-10-04 bins.xls","cage4 4993 11-9-10-04 bins.xls",NA
"31","12-1-04","cage 2 4768 12-1-2-04 bins.xls","cage 2 4768 12-1-2-04 bins.xls",NA
"32","12-1-04","cage 4 4769 12-1-2-04 bins.xls","cage 4 4769 12-1-2-04 bins.xls",NA
"33","12-11-04","cage2 4989 12-11-12-04 bins.xls","cage2 4989 12-11-12-04 bins.xls",NA
"34","12-11-04","cage4 4990 12-11-12-04 bins.xls","cage4 4990 12-11-12-04 bins.xls",NA
"35","12-13-04","cage2 4992 12-13-14-04 bins.xls","cage2 4992 12-13-14-04 bins.xls",NA
"36","12-13-04","cage4 4993 12-13-14-04 bins.xls","cage4 4993 12-13-14-04 bins.xls",NA
"37","12-14-04","cage2 4992 12-14-15-04 bins.xls","cage2 4992 12-14-15-04 bins.xls",NA
"38","12-14-04","cage4 4993 12-14-15-04 bins.xls","cage4 4993 12-14-15-04 bins.xls",NA
"39","12-23-04","cage 2 5892 12-23-24-04 bins.xls","cage 2 5892 12-23-24-04 bins.xls",NA
"40","12-23-04","cage 4 5891 12-23-24-04 bins.xls","cage 4 5891 12-23-24-04 bins.xls",NA
"41","12-24-04","cage2 5891 12-24-25-04 bins.xls","cage2 5891 12-24-25-04 bins.xls",NA
"42","12-24-04","cage4 5892 12-24-25-04 bins.xls","cage4 5892 12-24-25-04 bins.xls",NA
"43","12-27-04","cage1 5210 12-27-28-04 bins.xls","cage1 5210 12-27-28-04 bins.xls",NA
"44","12-27-04","cage3 5211 12-27-28-04 bins.xls","cage3 5211 12-27-28-04 bins.xls",NA
"45","12-28-04","cage1 5210 12-28-29-04 bins.xls","cage1 5210 12-28-29-04 bins.xls",NA
"46","12-28-04","cage3 5211 12-28-29-04 bins.xls","cage3 5211 12-28-29-04 bins.xls",NA
"47","12-5-04","cage 1 4770 12-5-6-04 bins.xls","cage 1 4770 12-5-6-04 bins.xls",NA
"48","12-5-04","cage 3 4771 12-5-6-04 bins.xls","cage 3 4771 12-5-6-04 bins.xls",NA
"49","12-6-04","cage 1 4770 12-6-7-04 bins.xls","cage 1 4770 12-6-7-04 bins.xls",NA
"50","12-6-04","cage 3 4771 12-6-7-04 bins.xls","cage 3 4771 12-6-7-04 bins.xls",NA
