animal_ID,gender,treatment,genotype,date,test cage,real time start,experiment_folder_name.x,Behavior_sequence.x,Onemin_summary.x,Lab_ID,Exclude_data,experiment_folder_name.y,Behavior_sequence.y,Onemin_summary.y
3977,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,10-13-04,cage 3 3977 10-13-14-04 bins.xls,cage 3 3977 10-13-14-04 bins.xls
3977,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,10-14-04,cage 3 3977 10-14-15-04 new set file bins.xls,cage 3 3977 10-14-15-04 new set file bins.xls
3977,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,10-26-04,cage 3 3977 10-26-27-04 bins.xls,cage 3 3977 10-26-27-04 bins.xls
3977,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,10-27-04,cage 3 3977 10-27-28-04 bins.xls,cage 3 3977 10-27-28-04 bins.xls
3977,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,09/05/2004,3977 9-5-6-04 bins.xls,3977 9-5-6-04 bins.xls
3977,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,09/06/2004,cage 3 3977 9-6-7-04 bins.xls,cage 3 3977 9-6-7-04 bins.xls
4990,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,11/05/2004,cage4 4990 11-5-6-04 bins.xls,cage4 4990 11-5-6-04 bins.xls
4990,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,12/11/2004,cage4 4990 12-11-12-04 bins.xls,cage4 4990 12-11-12-04 bins.xls
4990,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,12/09/2004,cage4 4990 12-9-10-04 bins.xls,cage4 4990 12-9-10-04 bins.xls
4771,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,11/01/2004,cage 3 4771 11-1-2-04 bins.xls,cage 3 4771 11-1-2-04 bins.xls
4771,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,11/02/2004,cage3 4771 11-2-3-04 bins.xls,cage3 4771 11-2-3-04 bins.xls
4771,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,12/05/2004,cage 3 4771 12-5-6-04 bins.xls,cage 3 4771 12-5-6-04 bins.xls
4771,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,12/06/2004,cage 3 4771 12-6-7-04 bins.xls,cage 3 4771 12-6-7-04 bins.xls
4993,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,11/08/2004,cage4 4993 11-8-9-04 bins.xls,cage4 4993 11-8-9-04 bins.xls
4993,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,11/09/2004,cage4 4993 11-9-10-04 bins.xls,cage4 4993 11-9-10-04 bins.xls
4993,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,12-13-04,cage4 4993 12-13-14-04 bins.xls,cage4 4993 12-13-14-04 bins.xls
4993,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,12-14-04,cage4 4993 12-14-15-04 bins.xls,cage4 4993 12-14-15-04 bins.xls
5891,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,12-23-04,cage 4 5891 12-23-24-04 bins.xls,cage 4 5891 12-23-24-04 bins.xls
5891,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,12-24-04,cage2 5891 12-24-25-04 bins.xls,cage2 5891 12-24-25-04 bins.xls
5891,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,02/01/2005,cage1 5891 2-1-2-05 bins.xls,cage1 5891 2-1-2-05 bins.xls
5891,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,02/02/2005,cage1 5891 2-2-3-05 bins.xls,cage1 5891 2-2-3-05 bins.xls
5210,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,11-23-04,cage1 5210 11-23-24-04 bins.xls,cage1 5210 11-23-24-04 bins.xls
5210,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,11-24-04,cage1 5210 11-24-25-04 bins.xls,cage1 5210 11-24-25-04 bins.xls
5210,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,12-27-04,cage1 5210 12-27-28-04 bins.xls,cage1 5210 12-27-28-04 bins.xls
5210,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,12-28-04,cage1 5210 12-28-29-04 bins.xls,cage1 5210 12-28-29-04 bins.xls
4769,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,10-26-04,cage 4 4769 10-26-27-04 bins.xls,cage 4 4769 10-26-27-04 bins.xls
4769,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,10-27-04,cage 4 4769 10-27-28-04 bins.xls,cage 4 4769 10-27-28-04 bins.xls
4769,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,11-30-04,cage 4 4769 11-30-12-1-04 bins.xls,cage 4 4769 11-30-12-1-04 bins.xls
4769,NA,NA,HD,NA,NA,NA,NA,NA,NA,NA,NA,12/01/2004,cage 4 4769 12-1-2-04 bins.xls,cage 4 4769 12-1-2-04 bins.xls
3976,NA,NA,WT,NA,NA,NA,NA,NA,NA,NA,NA,10-13-04,cage 1 3976 10-13-14-04 bins.xls,cage 1 3976 10-13-14-04 bins.xls
3976,NA,NA,WT,NA,NA,NA,NA,NA,NA,NA,NA,10-14-04,cage 1 3976 10-14-15-04 new set file bins.xls,cage 1 3976 10-14-15-04 new set file bins.xls
3976,NA,NA,WT,NA,NA,NA,NA,NA,NA,NA,NA,10-26-04,cage 1 3976 10-26-27-04 bins.xls,cage 1 3976 10-26-27-04 bins.xls
3976,NA,NA,WT,NA,NA,NA,NA,NA,NA,NA,NA,10-27-04,cage 1 3976 10-27-28-04 bins.xls,cage 1 3976 10-27-28-04 bins.xls
3976,NA,NA,WT,NA,NA,NA,NA,NA,NA,NA,NA,09/05/2004,3976 9-5-6-04 bins.xls,3976 9-5-6-04 bins.xls
3976,NA,NA,WT,NA,NA,NA,NA,NA,NA,NA,NA,09/06/2004,cage 1 3976 9-6-7-04 bins.xls,cage 1 3976 9-6-7-04 bins.xls
4989,NA,NA,WT,NA,NA,NA,NA,NA,NA,NA,NA,11/05/2004,cage2 4989 11-5-6-04 bins.xls,cage2 4989 11-5-6-04 bins.xls
4989,NA,NA,WT,NA,NA,NA,NA,NA,NA,NA,NA,11/06/2004,cage2 4989 11-6-7-04 26 hour bins.xls,cage2 4989 11-6-7-04 26 hour bins.xls
