"behav";"Bouts";"seconds";"ID";"animal_ID";"gender";"treatment";"genotype";"date";"test.cage";"real.time.start";"dark.start";"project.name"
"Awaken";48;110.48;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Chew";11;7.32;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Circle";0;0;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Come Down";488;124.28;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Come Down From Partially Reared";977;245.48;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Come Down To Partially Reared";805;207.6;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Dig";89;17.84;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Drink Spout1";205;210.96;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Drink Spout2";0;0;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Drink Spout3";0;0;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Eat Zone1";40;28.8;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Eat Zone2";0;0;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Eat Zone3";0;0;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Forage";141;36.04;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Groom";349;10651.04;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Hang Cuddled";214;57.08;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Hang Vertically";0;0;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Hang Vertically From HangCuddled";178;47.6;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Hang Vertically From Rear Up";159;40.64;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Jump";53;27.16;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Land Vertically";93;23.64;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"No Data";15;2217.64;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Pause";290;2463;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Rear Up";381;100.28;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Rear up From Partially Reared";947;233.6;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Rear up To Partially Reared";958;257.68;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Remain Hang Cuddled";187;1345.44;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Remain Hang Vertically";228;437.2;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Remain Low";8391;14247.76;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Remain Partially Reared";480;224.12;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Remain RearUp";684;450.04;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Repetitive Jumping";0;0;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Sleep";51;41991.6;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Sniff";1229;1342.08;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Stationary";56;25.68;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Stretch Body";483;318.56;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Turn";6852;1812.28;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Twitch";469;1578.28;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Unknown Behavior";268;153.12;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Urinate";0;0;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Walk Left";790;343.28;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Walk Right";811;362.36;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Walk Slowly";5323;1939.48;"100";"7";"M";"young";"test";"08.09.2015";"1";09:08:00;18:00:00;"Tarabykin"
"Awaken";49;57.68;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Chew";174;128.92;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Circle";0;0;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Come Down";160;45.12;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Come Down From Partially Reared";1901;528.16;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Come Down To Partially Reared";371;101.16;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Dig";26;5.08;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Drink Spout1";37;45.68;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Drink Spout2";0;0;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Drink Spout3";0;0;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Eat Zone1";405;517.4;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Eat Zone2";0;0;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Eat Zone3";0;0;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Forage";75;19.2;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Groom";232;6928.4;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Hang Cuddled";135;36.12;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Hang Vertically";0;0;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Hang Vertically From HangCuddled";116;34.16;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Hang Vertically From Rear Up";246;61.16;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Jump";59;26.68;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Land Vertically";86;22.52;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"No Data";15;1437.44;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Pause";355;2837.48;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Rear Up";104;27.84;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Rear up From Partially Reared";321;81.6;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Rear up To Partially Reared";1717;490.12;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Remain Hang Cuddled";105;277.44;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Remain Hang Vertically";427;694.64;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Remain Low";8301;17761.84;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Remain Partially Reared";918;828.36;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Remain RearUp";255;222.2;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Repetitive Jumping";9;5.08;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
"Sleep";51;39137.64;"101";"28";"M";"young";"control";"08.09.2015";"2";09:08:00;18:00:00;"Tarabykin"
