Original_HCSminute,AOCF_category,Jhuang_category
Travel.m.,Distance_traveled,Distance_traveled
ComeDown,ComeDown,Rear
RearUp,rearup,Rear
Turn,walk,Walk
Stretch,Stretch,Rear
HangCudl,hang,Hang
HangVert,hang,Hang
CDfromPR,ComeDown,Rear
CDtoPR,rearup,Rear
RUfromPR,rearup,Rear
RUtoPR,rearup,Rear
LandVert,hang,Rear
WalkLeft,walk,Walk
WalkRght,walk,Walk
Stationa,immobile,Rest
Drnk.S1.,Drink,Drink
Eat.Z1.,Eat,Eat
Jump,jump,Unknown_behavior
Unknown,Unknown,Unknown_behavior
HVfromRU,hang,Hang
HVfromHC,hang,Hang
ReptJump,jump,Unknown_behavior
Circle,walk,Walk
Dig,digforage,Unknown_behavior
Forage,digforage,Unknown_behavior
Pause,immobile,Micro_move
Urinate,Unknown,Unknown_behavior
Groom,Groom,Groom
Sleep,immobile,Rest
Twitch,Twitch,Micro_move
Arousal,,
Awaken,Awaken,Micro_move
Chew,Chew,Eat
Sniff,Sniffing,Micro_move
RemainRU,rearup,Rear
RemainPR,rearup,Rear
RemainHV,hang,Hang
RemainHC,hang,Hang
RemainLw,RemainLow,Micro_move
WalkSlow,walk,Walk
No.Data,,
Drnk.S2.,Drink,Drink
Drnk.S3.,Drink,Drink
Eat.Z2.,Eat,Eat
Eat.Z3.,Eat,Eat
